player,team,PA,AB,entropy
Caleb Durbin,Milwaukee Brewers,514,452,2.409095127697777
José Ramírez,Cleveland Guardians,677,598,2.3853743610707583
Jose Altuve,Houston Astros,654,588,2.3836786488477326
Geraldo Perdomo,Arizona Diamondbacks,724,602,2.3755312549475844
Bobby Witt Jr.,Kansas City Royals,687,623,2.373702557593051
Junior Caminero,Tampa Bay Rays,653,602,2.3611595681107476
Juan Soto,New York Mets,716,578,2.3550462615371797
Pete Alonso,New York Mets,709,624,2.3496119426469257
Nolan Schanuel,Los Angeles Angels,563,487,2.33857637829477
Xander Bogaerts,San Diego Padres,553,492,2.335817743381896
Aaron Judge,New York Yankees,688,548,2.3343061670144567
Agustín Ramírez,Miami Marlins,585,537,2.3330760969947444
Vinnie Pasquantino,Kansas City Royals,682,621,2.3323751662020857
George Springer,Toronto Blue Jays,596,506,2.328979416584038
Vladimir Guerrero Jr.,Toronto Blue Jays,690,598,2.327527628532839
Ceddanne Rafaela,Boston Red Sox,590,549,2.3270663647143084
TJ Friedl,Cincinnati Reds,699,587,2.3269298075892766
Corbin Carroll,Arizona Diamondbacks,643,565,2.325948739437794
Joey Ortiz,Milwaukee Brewers,514,476,2.3198478596643892
Lourdes Gurriel Jr.,Arizona Diamondbacks,550,504,2.318012757742972
Francisco Lindor,New York Mets,732,644,2.31778647761624
Jackson Chourio,Milwaukee Brewers,596,556,2.3163792638211347
Mike Yastrzemski,Kansas City Royals,558,477,2.3146032007008785
Ketel Marte,Arizona Diamondbacks,560,484,2.3143800968462642
Ernie Clement,Toronto Blue Jays,596,552,2.3140283110956923
Jake Cronenworth,San Diego Padres,516,420,2.313307169654994
Zach McKinstry,Detroit Tigers,520,460,2.3108475454304873
Gunnar Henderson,Baltimore Orioles,651,577,2.310595738572971
Matt Chapman,San Francisco Giants,536,455,2.310545797886214
Pete Crow-Armstrong,Chicago Cubs,655,599,2.3095641240174674
Cody Bellinger,New York Yankees,665,595,2.3094237360037155
Julio Rodríguez,Seattle Mariners,719,661,2.3087611354174657
Sal Frelick,Milwaukee Brewers,603,536,2.3076392616378842
Jeremy Peña,Houston Astros,543,493,2.3043325066704634
Jorge Polanco,Seattle Mariners,532,479,2.3036722077378777
Gavin Sheets,San Diego Padres,546,493,2.302245311681684
Brent Rooker,Athletics,699,626,2.3020485806209363
Ben Rice,New York Yankees,539,475,2.3019356691377615
Randy Arozarena,Seattle Mariners,718,621,2.2986324665621374
Manny Machado,San Diego Padres,678,615,2.2963824817178966
Maikel Garcia,Kansas City Royals,666,595,2.2948840074282737
Shea Langeliers,Athletics,522,480,2.294490890981887
Mookie Betts,Los Angeles Dodgers,672,598,2.2933772637641074
Kyle Tucker,Chicago Cubs,605,506,2.291888296167832
Marcus Semien,Texas Rangers,534,470,2.288589247329567
William Contreras,Milwaukee Brewers,669,576,2.2885803437322783
Salvador Perez,Kansas City Royals,641,597,2.286448638131188
Anthony Volpe,New York Yankees,604,547,2.284353458696681
Miguel Vargas,Chicago White Sox,569,504,2.2813533259886283
Freddie Freeman,Los Angeles Dodgers,635,563,2.2811981486304087
Chase Meidroth,Chicago White Sox,505,450,2.2810868801210513
Willson Contreras,St. Louis Cardinals,563,490,2.2809146401627682
Ozzie Albies,Atlanta Braves,671,607,2.277560004308949
Otto Lopez,Miami Marlins,594,544,2.2766004950376697
Shohei Ohtani,Los Angeles Dodgers,737,620,2.2744817442909544
